State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2015,264,230,33,1,0,0,0,129,38
Alabama,Clay,2015,112,101,11,0,0,0,0,91,32
Alabama,Colbert,2015,280,251,29,0,0,0,0,73,36
Alabama,DeKalb,2015,363,319,43,1,0,0,0,101,37
Alabama,Elmore,2015,233,223,9,1,0,0,0,115,35
Alabama,Etowah,2015,365,221,137,4,3,0,0,170,46
Alabama,Houston,2015,283,259,24,0,0,0,0,74,33
Alabama,Jefferson,2015,365,206,154,5,0,0,0,147,48
Alabama,Lawrence,2015,114,105,9,0,0,0,0,71,27
Alabama,Madison,2015,333,288,45,0,0,0,0,87,38
Alabama,Mobile,2015,363,274,88,1,0,0,0,105,40
Alabama,Montgomery,2015,359,227,131,1,0,0,0,115,45
Alabama,Morgan,2015,365,302,63,0,0,0,0,92,38
Alabama,Russell,2015,337,196,139,2,0,0,0,141,47
Alabama,Shelby,2015,257,219,36,2,0,0,0,115,39
Alabama,Sumter,2015,314,233,80,1,0,0,0,107,40
Alabama,Talladega,2015,107,76,31,0,0,0,0,81,40
Alabama,Tuscaloosa,2015,357,193,164,0,0,0,0,89,49
Alaska,Aleutians East ,2015,117,117,0,0,0,0,0,33,10
Alaska,Anchorage ,2015,361,301,60,0,0,0,0,76,28
Alaska,Denali ,2015,363,356,7,0,0,0,0,89,34
Alaska,Fairbanks North Star ,2015,365,169,133,20,40,3,0,238,54
Alaska,Juneau ,2015,351,296,55,0,0,0,0,91,21
Alaska,Kenai Peninsula ,2015,40,40,0,0,0,0,0,17,5
Alaska,Matanuska-Susitna ,2015,365,286,68,10,1,0,0,154,29
Alaska,Yukon-Koyukuk ,2015,83,82,1,0,0,0,0,95,4
Arizona,Apache,2015,361,361,0,0,0,0,0,35,11
Arizona,Cochise,2015,365,282,83,0,0,0,0,90,44
Arizona,Coconino,2015,365,260,101,4,0,0,0,108,44
Arizona,Gila,2015,365,258,102,5,0,0,0,129,43
Arizona,La Paz,2015,360,273,84,3,0,0,0,108,42
Arizona,Maricopa,2015,365,85,244,36,0,0,0,147,64
Arizona,Mohave,2015,364,354,10,0,0,0,0,58,17
Arizona,Navajo,2015,365,317,48,0,0,0,0,100,39
Arizona,Pima,2015,365,247,117,1,0,0,0,101,45
Arizona,Pinal,2015,365,105,214,33,3,0,10,881,63
Arizona,Santa Cruz,2015,365,294,68,3,0,0,0,135,30
Arizona,Yavapai,2015,300,235,65,0,0,0,0,100,41
Arizona,Yuma,2015,365,260,91,13,0,1,0,266,43
Arkansas,Arkansas,2015,116,88,28,0,0,0,0,71,34
Arkansas,Ashley,2015,116,92,24,0,0,0,0,73,31
Arkansas,Clark,2015,320,305,15,0,0,0,0,87,33
Arkansas,Crittenden,2015,365,308,56,1,0,0,0,101,36
Arkansas,Garland,2015,120,97,23,0,0,0,0,72,34
Arkansas,Jackson,2015,119,96,23,0,0,0,0,64,31
Arkansas,Newton,2015,365,341,24,0,0,0,0,90,35
Arkansas,Polk,2015,361,313,47,1,0,0,0,101,38
Arkansas,Pulaski,2015,365,233,132,0,0,0,0,100,44
Arkansas,Union,2015,119,94,25,0,0,0,0,74,33
Arkansas,Washington,2015,365,328,37,0,0,0,0,90,37
California,Alameda,2015,365,214,139,12,0,0,0,147,46
California,Alpine,2015,31,1,14,13,3,0,0,170,102
California,Amador,2015,364,283,73,8,0,0,0,140,41
California,Butte,2015,365,170,182,12,1,0,0,152,52
California,Calaveras,2015,365,245,98,18,2,1,1,320,45
California,Colusa,2015,365,229,130,4,2,0,0,191,46
California,Contra Costa,2015,365,258,99,8,0,0,0,147,44
California,Del Norte,2015,114,106,8,0,0,0,0,69,15
California,El Dorado,2015,365,239,102,22,2,0,0,166,44
California,Fresno,2015,365,60,203,78,23,1,0,205,80
California,Glenn,2015,365,257,108,0,0,0,0,93,44
California,Humboldt,2015,365,310,55,0,0,0,0,90,36
California,Imperial,2015,365,87,236,39,3,0,0,175,63
California,Inyo,2015,365,203,141,12,6,0,3,1383,48
California,Kern,2015,365,44,199,93,28,1,0,201,84
California,Kings,2015,365,90,205,60,10,0,0,174,71
California,Lake,2015,363,351,11,1,0,0,0,148,36
California,Los Angeles,2015,365,26,207,95,36,1,0,203,79
California,Madera,2015,365,109,209,43,4,0,0,154,63
California,Marin,2015,365,285,78,2,0,0,0,103,36
California,Mariposa,2015,365,239,115,6,4,1,0,215,46
California,Mendocino,2015,365,302,59,2,2,0,0,160,38
California,Merced,2015,365,142,178,41,4,0,0,159,58
California,Mono,2015,365,321,25,2,4,1,12,3994,14
California,Monterey,2015,365,331,33,1,0,0,0,120,37
California,Napa,2015,365,237,127,1,0,0,0,108,44
California,Nevada,2015,364,217,116,29,2,0,0,166,47
California,Orange,2015,365,126,218,19,2,0,0,156,56
California,Placer,2015,365,236,120,8,1,0,0,179,45
California,Plumas,2015,132,68,50,10,4,0,0,157,50
California,Riverside,2015,365,43,182,106,32,2,0,238,87
California,Sacramento,2015,365,153,184,25,3,0,0,172,54
California,San Benito,2015,365,313,52,0,0,0,0,93,39
California,San Bernardino,2015,365,35,200,88,37,5,0,223,83
California,San Diego,2015,365,91,233,40,1,0,0,155,61
California,San Francisco,2015,365,300,65,0,0,0,0,100,35
California,San Joaquin,2015,365,138,191,32,4,0,0,164,56
California,San Luis Obispo,2015,365,163,197,5,0,0,0,126,53
California,San Mateo,2015,365,327,37,1,0,0,0,101,32
California,Santa Barbara,2015,365,249,115,1,0,0,0,101,45
California,Santa Clara,2015,365,247,111,7,0,0,0,147,43
California,Santa Cruz,2015,365,320,45,0,0,0,0,94,35
California,Shasta,2015,365,256,96,12,1,0,0,156,44
California,Siskiyou,2015,362,334,24,4,0,0,0,139,36
California,Solano,2015,365,246,115,4,0,0,0,118,44
California,Sonoma,2015,365,321,44,0,0,0,0,88,35
California,Stanislaus,2015,365,127,190,43,5,0,0,187,59
California,Sutter,2015,365,194,163,8,0,0,0,119,49
California,Tehama,2015,365,231,115,18,1,0,0,153,45
California,Trinity,2015,68,68,0,0,0,0,0,49,9
California,Tulare,2015,365,50,217,78,20,0,0,170,78
California,Tuolumne,2015,364,264,89,11,0,0,0,126,43
