State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2018,270,245,25,0,0,0,0,97,35
Alabama,Clay,2018,110,103,7,0,0,0,0,64,27
Alabama,Colbert,2018,277,251,26,0,0,0,0,93,35
Alabama,DeKalb,2018,350,316,34,0,0,0,0,84,35
Alabama,Elmore,2018,222,203,19,0,0,0,0,71,33
Alabama,Etowah,2018,324,231,92,0,1,0,0,153,41
Alabama,Houston,2018,277,249,28,0,0,0,0,80,35
Alabama,Jefferson,2018,365,191,170,3,1,0,0,156,50
Alabama,Lawrence,2018,118,112,6,0,0,0,0,61,23
Alabama,Madison,2018,365,275,89,1,0,0,0,115,41
Alabama,Mobile,2018,359,284,74,1,0,0,0,105,38
Alabama,Montgomery,2018,324,149,175,0,0,0,0,93,52
Alabama,Morgan,2018,364,304,60,0,0,0,0,100,37
Alabama,Russell,2018,364,277,87,0,0,0,0,99,39
Alabama,Shelby,2018,242,217,24,1,0,0,0,112,38
Alabama,Sumter,2018,357,336,21,0,0,0,0,77,29
Alabama,Tuscaloosa,2018,320,265,54,1,0,0,0,115,37
Alaska,Aleutians East ,2018,120,120,0,0,0,0,0,34,10
Alaska,Anchorage ,2018,365,308,57,0,0,0,0,87,24
Alaska,Bethel ,2018,202,196,6,0,0,0,0,77,15
Alaska,Denali ,2018,364,361,3,0,0,0,0,58,35
Alaska,Fairbanks North Star ,2018,365,248,78,29,10,0,0,156,34
Alaska,Juneau ,2018,352,306,46,0,0,0,0,83,23
Alaska,Kenai Peninsula ,2018,120,120,0,0,0,0,0,27,8
Alaska,Matanuska-Susitna ,2018,365,325,36,3,1,0,0,151,27
Arizona,Apache,2018,358,354,4,0,0,0,0,55,12
Arizona,Cochise,2018,365,276,89,0,0,0,0,90,44
Arizona,Coconino,2018,365,240,122,3,0,0,0,126,45
Arizona,Gila,2018,365,220,122,22,1,0,0,171,47
Arizona,La Paz,2018,364,263,98,3,0,0,0,105,44
Arizona,Maricopa,2018,365,54,247,57,4,3,0,249,71
Arizona,Mohave,2018,363,350,12,1,0,0,0,105,18
Arizona,Navajo,2018,363,261,100,2,0,0,0,115,44
Arizona,Pima,2018,365,196,158,11,0,0,0,129,49
Arizona,Pinal,2018,365,84,230,34,6,3,8,996,67
Arizona,Santa Cruz,2018,365,294,69,1,1,0,0,183,31
Arizona,Yavapai,2018,365,292,72,1,0,0,0,101,43
Arizona,Yuma,2018,365,239,110,15,1,0,0,169,45
Arkansas,Arkansas,2018,118,98,20,0,0,0,0,90,33
Arkansas,Ashley,2018,121,106,14,1,0,0,0,103,29
Arkansas,Clark,2018,361,342,19,0,0,0,0,87,31
Arkansas,Craighead,2018,90,71,19,0,0,0,0,72,35
Arkansas,Crittenden,2018,365,288,74,3,0,0,0,115,40
Arkansas,Garland,2018,121,99,22,0,0,0,0,86,31
Arkansas,Jackson,2018,122,107,15,0,0,0,0,71,31
Arkansas,Newton,2018,364,336,28,0,0,0,0,84,35
Arkansas,Polk,2018,363,319,44,0,0,0,0,93,38
Arkansas,Pulaski,2018,365,257,106,2,0,0,0,122,43
Arkansas,Union,2018,365,276,86,3,0,0,0,122,37
Arkansas,Washington,2018,365,266,99,0,0,0,0,87,42
California,Alameda,2018,365,175,173,5,10,2,0,223,51
California,Amador,2018,364,288,70,6,0,0,0,129,40
California,Butte,2018,365,152,173,22,11,3,4,445,54
California,Calaveras,2018,364,148,196,14,6,0,0,157,53
California,Colusa,2018,365,245,92,10,17,1,0,274,42
California,Contra Costa,2018,365,203,144,7,9,2,0,245,48
California,Del Norte,2018,180,162,18,0,0,0,0,77,25
California,El Dorado,2018,365,222,106,27,9,1,0,203,45
California,Fresno,2018,365,84,183,79,19,0,0,185,74
California,Glenn,2018,363,275,72,9,6,1,0,230,36
California,Humboldt,2018,365,324,35,5,1,0,0,163,34
California,Imperial,2018,365,95,220,41,7,2,0,286,62
California,Inyo,2018,365,198,130,26,8,2,1,624,48
California,Kern,2018,365,65,170,103,27,0,0,190,84
California,Kings,2018,365,89,218,49,9,0,0,180,69
California,Lake,2018,357,347,7,1,1,1,0,208,33
California,Los Angeles,2018,365,35,222,89,18,1,0,201,77
California,Madera,2018,365,152,178,30,5,0,0,165,56
