county,state_name,lat,lng,population
Chester,Pennsylvania,39.9731,-75.7484,536474
Montgomery,Ohio,39.7547,-84.2907,536121
Plymouth,Massachusetts,41.9511,-70.8115,529548
Greenville,South Carolina,34.8941,-82.3706,528251
Sedgwick,Kansas,37.6848,-97.461,522700
Camden,New Jersey,39.8035,-74.9597,522581
Adams,Colorado,39.8736,-104.3379,520149
Passaic,New Jersey,41.0344,-74.3009,519986
Kane,Illinois,41.9388,-88.4286,517254
Morris,New Jersey,40.862,-74.5445,508816
Clark,Washington,45.7792,-122.4825,504091
Lake,Indiana,41.4167,-87.3821,497682
Ada,Idaho,43.4511,-116.2412,497494
Polk,Iowa,41.6854,-93.5734,493378
Richmond,New York,40.5808,-74.1531,492925
Sonoma,California,38.529,-122.8882,488436
Washoe,Nevada,40.6655,-119.6643,486674
Knox,Tennessee,35.9932,-83.9371,481406
Prince William,Virginia,38.7029,-77.4809,481114
Tulare,California,36.2202,-118.8005,473446
Onondaga,New York,43.0058,-76.1946,472637
Seminole,Florida,28.717,-81.2363,471321
Hampden,Massachusetts,42.1351,-72.6316,464575
Burlington,New Jersey,39.8777,-74.6681,461853
Virginia Beach,Virginia,36.7335,-76.0435,457900
York,Pennsylvania,39.92,-76.7265,457051
East Baton Rouge,Louisiana,30.5383,-91.0956,454369
Naugatuck Valley,Connecticut,41.5231,-73.086,451887
Solano,California,38.27,-121.9328,450995
Santa Barbara,California,34.6729,-120.0169,445213
Sarasota,Florida,27.1845,-82.3315,439392
Dakota,Minnesota,44.6719,-93.0654,439179
Monterey,California,36.2171,-121.2388,437609
Jefferson,Louisiana,29.7882,-90.1276,436171
Pinal,Arizona,32.9044,-111.3448,433338
Lucas,Ohio,41.6197,-83.6589,430014
Berks,Pennsylvania,40.4163,-75.926,428483
Hillsborough,New Hampshire,42.9153,-71.7161,422733
Cameron,Texas,26.1332,-97.5186,421854
Clackamas,Oregon,45.188,-122.2208,420925
Loudoun,Virginia,39.0907,-77.6357,420773
Richland,South Carolina,34.0218,-80.9031,416161
Mobile,Alabama,30.7877,-88.2058,413878
Charleston,South Carolina,32.8348,-79.953,409840
Waukesha,Wisconsin,43.0182,-88.3045,407290
Placer,California,39.0634,-120.7177,406608
St. Charles,Missouri,38.782,-90.6749,406262
Genesee,Michigan,43.0217,-83.7067,405280
Manatee,Florida,27.4719,-82.3153,405069
Orange,New York,41.4022,-74.3056,401237
Pulaski,Arkansas,34.77,-92.312,398322
Osceola,Florida,28.0626,-81.1495,393745
Madison,Alabama,34.7631,-86.5502,389781
Butler,Ohio,39.4386,-84.5756,388327
Lake,Florida,28.7615,-81.7113,386829
Allen,Indiana,41.0909,-85.0665,385456
Forsyth,North Carolina,36.1306,-80.2563,383739
Mercer,New Jersey,40.2834,-74.7018,383732
Lane,Oregon,43.9387,-122.8479,382218
Orleans,Louisiana,30.0687,-89.9289,380408
Collier,Florida,26.1108,-81.3474,380221
Marion,Florida,29.2102,-82.0567,378225
Brazoria,Texas,29.1898,-95.4521,374600
Stark,Ohio,40.8139,-81.3656,374199
Lehigh,Pennsylvania,40.6127,-75.5923,374110
Bell,Texas,31.0373,-97.4788,372821
Washtenaw,Michigan,42.2532,-83.8388,370231
Hamilton,Tennessee,35.1808,-85.1648,367193
Chesterfield,Virginia,37.3785,-77.587,366019
Anoka,Minnesota,45.2733,-93.2465,363985
Davis,Utah,40.99,-112.1115,363032
Douglas,Colorado,39.3298,-104.9293,360206
Larimer,Colorado,40.6664,-105.4611,359363
Horry,South Carolina,33.9216,-78.9969,356578
Westmoreland,Pennsylvania,40.3109,-79.4668,354414
Nueces,Texas,27.7254,-97.6134,353245
Galveston,Texas,29.3944,-94.9642,350801
Hamilton,Indiana,40.0725,-86.052,349527
Marion,Oregon,44.9033,-122.5846,345815
Somerset,New Jersey,40.5635,-74.6164,344978
Rutherford,Tennessee,35.8427,-86.4167,343727
Rockland,New York,41.1525,-74.0242,337326
Cumberland,North Carolina,35.0487,-78.8277,335207
St. Lucie,Florida,27.3773,-80.4721,334682
Henrico,Virginia,37.538,-77.4059,333120
Howard,Maryland,39.2507,-76.9312,332011
Weld,Colorado,40.5548,-104.3925,331466
Spartanburg,South Carolina,34.9309,-81.9908,330119
Boulder,Colorado,40.0925,-105.3577,328658
Greater Bridgeport,Connecticut,41.2428,-73.2314,326381
Luzerne,Pennsylvania,41.177,-75.9892,325396
Durham,North Carolina,36.036,-78.8766,325101
Lancaster,Nebraska,40.7842,-96.6878,322063
Escambia,Florida,30.669,-87.363,321296
Fayette,Kentucky,38.0423,-84.4587,321276
Rockingham,New Hampshire,42.9876,-71.1254,315169
Albany,New York,42.6002,-73.9736,315041
Northampton,Pennsylvania,40.7542,-75.3076,314299
Lorain,Ohio,41.2956,-82.151,313101
Lubbock,Texas,33.6102,-101.8205,311509
McHenry,Illinois,42.3244,-88.4523,311133
Cumberland,Maine,43.8466,-70.3996,303357
Gloucester,New Jersey,39.7173,-75.1414,302621
Greene,Missouri,37.2581,-93.342,299188
St. Louis,Missouri,38.6358,-90.2451,298018
Dutchess,New York,41.7652,-73.7429,296467
Clayton,Georgia,33.542,-84.3576,296312
Chatham,Georgia,32.0043,-81.1329,296266
Ottawa,Michigan,42.9599,-85.996,296183
Lexington,South Carolina,33.9023,-81.2722,295934
Cleveland,Oklahoma,35.2031,-97.3265,295060
Thurston,Washington,46.9256,-122.8333,294272
Leon,Florida,30.458,-84.2779,294128
Anchorage,Alaska,61.1498,-149.1082,290674
Benton,Arkansas,36.3387,-94.2561,286528
Dauphin,Pennsylvania,40.4155,-76.7794,286108
