State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2023,170,143,27,0,0,0,0,90,40
Alabama,Clay,2023,155,109,46,0,0,0,0,83,40
Alabama,DeKalb,2023,212,155,55,2,0,0,0,133,43
Alabama,Elmore,2023,118,102,16,0,0,0,0,90,40
Alabama,Etowah,2023,181,126,55,0,0,0,0,100,43
Alabama,Jefferson,2023,182,72,98,8,3,1,0,230,54
Alabama,Madison,2023,181,129,50,2,0,0,0,115,43
Alabama,Mobile,2023,178,133,45,0,0,0,0,90,43
Alabama,Montgomery,2023,150,97,53,0,0,0,0,93,47
Alabama,Morgan,2023,181,138,41,2,0,0,0,140,41
Alabama,Russell,2023,176,133,43,0,0,0,0,93,42
Alabama,Shelby,2023,120,102,17,1,0,0,0,108,41
Alabama,Sumter,2023,179,163,16,0,0,0,0,80,34
Alabama,Tuscaloosa,2023,181,135,46,0,0,0,0,87,41
Alaska,Anchorage ,2023,182,166,16,0,0,0,0,71,20
Alaska,Denali ,2023,220,220,0,0,0,0,0,50,34
Alaska,Fairbanks North Star ,2023,182,142,29,9,2,0,0,155,39
Alaska,Juneau ,2023,180,168,12,0,0,0,0,66,17
Alaska,Matanuska-Susitna ,2023,176,163,12,1,0,0,0,102,10
Arizona,Apache,2023,272,271,1,0,0,0,0,61,12
Arizona,Cochise,2023,273,189,81,3,0,0,0,108,45
Arizona,Coconino,2023,273,160,112,1,0,0,0,126,49
Arizona,Gila,2023,273,146,115,11,1,0,0,154,49
Arizona,La Paz,2023,272,168,101,3,0,0,0,126,47
Arizona,Maricopa,2023,274,66,153,51,4,0,0,161,67
Arizona,Mohave,2023,265,258,7,0,0,0,0,99,15
Arizona,Navajo,2023,271,198,73,0,0,0,0,84,45
Arizona,Pima,2023,273,149,122,2,0,0,0,147,48
Arizona,Pinal,2023,273,123,126,22,2,0,0,159,54
Arizona,Santa Cruz,2023,268,246,22,0,0,0,0,85,28
Arizona,Yavapai,2023,272,212,60,0,0,0,0,87,44
Arizona,Yuma,2023,273,159,104,6,3,0,1,517,47
Arkansas,Arkansas,2023,90,71,19,0,0,0,0,78,35
Arkansas,Ashley,2023,89,66,22,1,0,0,0,107,34
Arkansas,Clark,2023,210,191,19,0,0,0,0,87,34
Arkansas,Crittenden,2023,272,205,62,5,0,0,0,133,42
Arkansas,Garland,2023,76,59,17,0,0,0,0,63,34
Arkansas,Jackson,2023,91,70,21,0,0,0,0,73,35
Arkansas,Newton,2023,273,237,36,0,0,0,0,90,40
Arkansas,Polk,2023,212,192,20,0,0,0,0,66,38
Arkansas,Pulaski,2023,274,154,115,4,1,0,0,174,47
Arkansas,Union,2023,90,65,24,1,0,0,0,102,39
Arkansas,Washington,2023,273,186,82,5,0,0,0,119,45
California,Alameda,2023,213,170,35,8,0,0,0,104,40
California,Amador,2023,150,150,0,0,0,0,0,49,33
California,Butte,2023,181,148,33,0,0,0,0,87,43
California,Calaveras,2023,181,174,7,0,0,0,0,61,35
California,Colusa,2023,269,152,117,0,0,0,0,98,48
California,Contra Costa,2023,213,166,47,0,0,0,0,87,41
California,Del Norte,2023,163,156,7,0,0,0,0,67,25
California,El Dorado,2023,181,148,32,1,0,0,0,105,39
California,Fresno,2023,243,118,105,19,1,0,0,151,51
California,Glenn,2023,149,132,17,0,0,0,0,97,38
California,Humboldt,2023,233,202,20,6,3,2,0,274,31
California,Imperial,2023,191,77,97,11,1,2,3,505,55
California,Inyo,2023,273,117,137,12,2,0,5,757,57
California,Kern,2023,240,173,65,2,0,0,0,111,42
California,Kings,2023,212,162,43,7,0,0,0,129,41
California,Lake,2023,104,104,0,0,0,0,0,43,33
California,Los Angeles,2023,212,74,118,18,2,0,0,192,58
California,Marin,2023,213,210,3,0,0,0,0,62,33
California,Mariposa,2023,243,179,61,2,1,0,0,158,45
California,Mendocino,2023,90,47,43,0,0,0,0,87,49
California,Mono,2023,181,163,14,0,1,0,3,1695,21
California,Monterey,2023,213,206,7,0,0,0,0,63,38
California,Nevada,2023,181,138,39,4,0,0,0,136,44
California,Orange,2023,182,153,29,0,0,0,0,97,41
California,Placer,2023,212,131,80,1,0,0,0,112,48
California,Plumas,2023,181,104,75,2,0,0,0,142,41
California,Riverside,2023,243,67,106,46,19,2,3,644,74
California,Sacramento,2023,241,202,39,0,0,0,0,90,38
California,San Benito,2023,242,209,33,0,0,0,0,93,40
California,San Bernardino,2023,243,76,111,48,7,1,0,201,64
California,San Diego,2023,271,166,90,15,0,0,0,140,46
California,San Francisco,2023,213,208,5,0,0,0,0,61,31
California,San Joaquin,2023,138,109,27,2,0,0,0,114,38
California,San Luis Obispo,2023,181,145,36,0,0,0,0,97,43
California,San Mateo,2023,213,203,10,0,0,0,0,58,35
California,Santa Barbara,2023,182,170,12,0,0,0,0,77,40
California,Santa Clara,2023,213,185,26,2,0,0,0,112,39
California,Santa Cruz,2023,212,209,3,0,0,0,0,55,33
California,Shasta,2023,242,203,39,0,0,0,0,80,44
California,Siskiyou,2023,90,82,8,0,0,0,0,60,38
California,Solano,2023,218,200,18,0,0,0,0,97,38
California,Sonoma,2023,213,210,3,0,0,0,0,60,33
California,Stanislaus,2023,167,130,36,1,0,0,0,108,42
California,Sutter,2023,149,118,31,0,0,0,0,87,40
California,Tehama,2023,149,125,23,1,0,0,0,101,39
California,Trinity,2023,124,110,14,0,0,0,0,64,18
California,Tulare,2023,243,115,89,35,4,0,0,156,52
California,Tuolumne,2023,151,144,7,0,0,0,0,80,35
California,Ventura,2023,212,160,45,7,0,0,0,136,44
California,Yolo,2023,192,164,27,1,0,0,0,105,39
Colorado,Adams,2023,267,152,110,3,2,0,0,168,49
Colorado,Arapahoe,2023,249,160,81,8,0,0,0,122,48
Colorado,Archuleta,2023,248,233,14,1,0,0,0,120,38
Colorado,Boulder,2023,249,133,111,3,2,0,0,173,49
Colorado,Clear Creek,2023,240,129,110,1,0,0,0,108,50
Colorado,Denver,2023,267,119,141,4,2,1,0,277,53
Colorado,Douglas,2023,251,140,97,13,1,0,0,170,49
Colorado,El Paso,2023,248,148,98,1,1,0,0,153,48
Colorado,Fremont,2023,80,79,1,0,0,0,0,71,13
Colorado,Garfield,2023,90,85,5,0,0,0,0,71,43
Colorado,Gilpin,2023,212,134,75,3,0,0,0,129,48
Colorado,Gunnison,2023,208,127,81,0,0,0,0,93,49
Colorado,Jefferson,2023,243,107,119,17,0,0,0,143,54
Colorado,La Plata,2023,244,134,108,1,1,0,0,161,50
Colorado,Larimer,2023,244,103,137,3,1,0,0,156,51
Colorado,Mesa,2023,231,200,31,0,0,0,0,77,41
Colorado,Montezuma,2023,273,200,73,0,0,0,0,80,46
Colorado,Pitkin,2023,68,68,0,0,0,0,0,46,13
Colorado,Prowers,2023,238,230,7,1,0,0,0,103,16
Colorado,Pueblo,2023,245,170,74,1,0,0,0,115,44
Colorado,Rio Blanco,2023,181,117,59,4,1,0,0,166,49
Colorado,Routt,2023,236,231,5,0,0,0,0,58,14
Colorado,San Miguel,2023,76,75,1,0,0,0,0,54,12
Colorado,Weld,2023,249,100,146,2,1,0,0,159,55
Connecticut,Fairfield,2023,181,131,41,5,3,1,0,217,44
Connecticut,Hartford,2023,182,144,32,3,3,0,0,162,41
Connecticut,Litchfield,2023,180,154,20,2,4,0,0,174,40
Connecticut,Middlesex,2023,118,99,17,2,0,0,0,140,43
Connecticut,New Haven,2023,181,134,40,4,3,0,0,191,44
Connecticut,New London,2023,181,154,21,3,3,0,0,162,40
Connecticut,Tolland,2023,121,97,22,1,1,0,0,156,43
Connecticut,Windham,2023,211,192,17,2,0,0,0,112,37
Country Of Mexico,SONORA,2023,273,153,114,6,0,0,0,126,47
District Of Columbia,District of Columbia,2023,244,156,77,8,3,0,0,184,46
Florida,Alachua,2023,181,155,26,0,0,0,0,87,40
Florida,Baker,2023,181,147,34,0,0,0,0,81,40
Florida,Bay,2023,181,132,49,0,0,0,0,78,45
Florida,Brevard,2023,181,144,37,0,0,0,0,84,43
Florida,Broward,2023,182,104,77,1,0,0,0,105,47
Florida,Citrus,2023,180,156,24,0,0,0,0,70,36
Florida,Collier,2023,180,160,20,0,0,0,0,84,39
Florida,Columbia,2023,180,134,46,0,0,0,0,86,43
Florida,Duval,2023,182,124,58,0,0,0,0,83,45
Florida,Escambia,2023,181,121,60,0,0,0,0,93,44
Florida,Flagler,2023,181,171,10,0,0,0,0,71,38
Florida,Hamilton,2023,151,121,30,0,0,0,0,69,36
Florida,Highlands,2023,179,165,13,1,0,0,0,108,38
Florida,Hillsborough,2023,182,123,57,2,0,0,0,112,46
Florida,Holmes,2023,181,131,50,0,0,0,0,77,43
Florida,Indian River,2023,211,205,6,0,0,0,0,71,35
Florida,Lake,2023,180,159,21,0,0,0,0,97,40
Florida,Lee,2023,181,164,16,1,0,0,0,101,36
Florida,Leon,2023,181,127,54,0,0,0,0,93,41
Florida,Liberty,2023,198,192,6,0,0,0,0,64,35
Florida,Manatee,2023,179,164,15,0,0,0,0,90,36
Florida,Marion,2023,181,151,30,0,0,0,0,80,42
Florida,Martin,2023,181,163,18,0,0,0,0,71,39
Florida,Miami-Dade,2023,182,139,41,0,2,0,0,165,44
Florida,Okaloosa,2023,57,48,9,0,0,0,0,84,42
Florida,Orange,2023,182,140,40,2,0,0,0,115,43
Florida,Osceola,2023,175,151,24,0,0,0,0,80,39
Florida,Palm Beach,2023,181,154,27,0,0,0,0,72,41
Florida,Pasco,2023,181,146,35,0,0,0,0,97,41
Florida,Pinellas,2023,182,130,50,2,0,0,0,108,44
Florida,Polk,2023,181,143,37,1,0,0,0,101,42
Florida,Putnam,2023,181,181,0,0,0,0,0,46,16
Florida,Santa Rosa,2023,181,143,38,0,0,0,0,100,42
Florida,Sarasota,2023,181,142,39,0,0,0,0,100,44
Florida,Seminole,2023,181,158,23,0,0,0,0,90,41
Florida,St. Lucie,2023,177,170,7,0,0,0,0,74,38
Florida,Volusia,2023,181,147,34,0,0,0,0,80,42
