State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2022,281,256,25,0,0,0,0,96,37
Alabama,Clay,2022,115,104,11,0,0,0,0,64,26
Alabama,DeKalb,2022,364,341,23,0,0,0,0,97,37
Alabama,Elmore,2022,240,232,8,0,0,0,0,74,33
Alabama,Etowah,2022,359,294,65,0,0,0,0,93,39
Alabama,Jefferson,2022,365,198,165,2,0,0,0,105,49
Alabama,Lawrence,2022,102,98,4,0,0,0,0,53,22
Alabama,Madison,2022,365,289,76,0,0,0,0,97,40
Alabama,Mobile,2022,363,313,50,0,0,0,0,93,37
Alabama,Montgomery,2022,363,319,44,0,0,0,0,95,37
Alabama,Morgan,2022,365,289,75,1,0,0,0,111,40
Alabama,Russell,2022,364,297,67,0,0,0,0,96,40
Alabama,Shelby,2022,245,225,19,1,0,0,0,105,37
Alabama,Sumter,2022,355,325,30,0,0,0,0,79,33
Alabama,Tuscaloosa,2022,280,253,27,0,0,0,0,87,34
Alaska,Aleutians East ,2022,121,120,1,0,0,0,0,71,9
Alaska,Anchorage ,2022,365,323,41,1,0,0,0,125,19
Alaska,Denali ,2022,338,330,8,0,0,0,0,80,34
Alaska,Fairbanks North Star ,2022,365,239,79,18,28,1,0,280,38
Alaska,Juneau ,2022,342,308,34,0,0,0,0,95,15
Alaska,Kenai Peninsula ,2022,120,119,1,0,0,0,0,70,7
Alaska,Matanuska-Susitna ,2022,341,307,34,0,0,0,0,88,10
Alaska,North Slope ,2022,100,97,2,0,1,0,0,165,5
Arizona,Apache,2022,363,361,2,0,0,0,0,57,11
Arizona,Cochise,2022,365,291,73,1,0,0,0,101,44
Arizona,Coconino,2022,365,283,81,1,0,0,0,101,44
Arizona,Gila,2022,365,246,101,16,2,0,0,177,45
Arizona,La Paz,2022,359,279,79,1,0,0,0,130,44
Arizona,Maricopa,2022,365,42,227,73,17,6,0,264,74
Arizona,Mohave,2022,357,340,16,1,0,0,0,115,17
Arizona,Navajo,2022,364,307,57,0,0,0,0,93,43
Arizona,Pima,2022,365,189,163,13,0,0,0,142,50
Arizona,Pinal,2022,365,107,225,30,1,0,2,670,61
Arizona,Santa Cruz,2022,357,273,83,1,0,0,0,138,34
Arizona,Yavapai,2022,365,341,24,0,0,0,0,87,40
Arizona,Yuma,2022,365,251,105,9,0,0,0,142,44
Arkansas,Arkansas,2022,115,100,15,0,0,0,0,88,30
Arkansas,Ashley,2022,117,106,11,0,0,0,0,99,29
Arkansas,Clark,2022,363,350,13,0,0,0,0,90,35
Arkansas,Crittenden,2022,365,291,70,3,1,0,0,156,40
Arkansas,Garland,2022,112,99,13,0,0,0,0,89,33
Arkansas,Jackson,2022,115,97,18,0,0,0,0,79,30
Arkansas,Newton,2022,365,343,21,1,0,0,0,105,37
Arkansas,Polk,2022,350,329,19,2,0,0,0,105,33
Arkansas,Pulaski,2022,365,251,113,1,0,0,0,115,43
Arkansas,Union,2022,115,92,23,0,0,0,0,100,35
Arkansas,Washington,2022,365,296,66,3,0,0,0,119,43
California,Alameda,2022,365,245,115,5,0,0,0,122,41
California,Amador,2022,364,333,30,1,0,0,0,112,36
California,Butte,2022,365,225,137,3,0,0,0,119,46
California,Calaveras,2022,364,315,48,1,0,0,0,115,39
California,Colusa,2022,363,300,62,1,0,0,0,105,41
California,Contra Costa,2022,365,256,107,2,0,0,0,129,43
California,Del Norte,2022,344,322,22,0,0,0,0,70,22
California,El Dorado,2022,365,260,91,12,2,0,0,177,43
