State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2020,269,250,19,0,0,0,0,74,36
Alabama,Clay,2020,108,99,9,0,0,0,0,86,26
Alabama,DeKalb,2020,364,350,14,0,0,0,0,90,36
Alabama,Elmore,2020,197,197,0,0,0,0,0,47,31
Alabama,Etowah,2020,278,260,18,0,0,0,0,92,34
Alabama,Jefferson,2020,366,212,151,3,0,0,0,129,48
Alabama,Lawrence,2020,90,87,3,0,0,0,0,75,18
Alabama,Madison,2020,364,307,57,0,0,0,0,88,40
Alabama,Mobile,2020,348,256,92,0,0,0,0,75,42
Alabama,Montgomery,2020,361,162,197,2,0,0,0,116,52
Alabama,Morgan,2020,355,308,47,0,0,0,0,71,35
Alabama,Russell,2020,365,299,66,0,0,0,0,99,36
Alabama,Shelby,2020,241,232,9,0,0,0,0,67,34
Alabama,Sumter,2020,355,343,12,0,0,0,0,70,29
Alabama,Tuscaloosa,2020,278,267,11,0,0,0,0,97,31
Alaska,Aleutians East ,2020,121,121,0,0,0,0,0,31,8
Alaska,Anchorage ,2020,366,334,32,0,0,0,0,91,22
Alaska,Bethel ,2020,167,166,1,0,0,0,0,56,6
Alaska,Denali ,2020,358,357,1,0,0,0,0,54,33
Alaska,Fairbanks North Star ,2020,366,255,74,17,20,0,0,170,33
Alaska,Juneau ,2020,361,343,17,1,0,0,0,101,14
Alaska,Kenai Peninsula ,2020,122,122,0,0,0,0,0,43,8
Alaska,Matanuska-Susitna ,2020,359,333,25,1,0,0,0,103,13
Alaska,North Slope ,2020,112,112,0,0,0,0,0,44,5
Arizona,Apache,2020,364,360,4,0,0,0,0,58,14
Arizona,Cochise,2020,366,274,90,2,0,0,0,108,45
Arizona,Coconino,2020,366,308,58,0,0,0,0,93,44
Arizona,Gila,2020,366,256,99,8,3,0,0,174,44
Arizona,La Paz,2020,366,294,70,2,0,0,0,125,44
Arizona,Maricopa,2020,366,14,151,60,67,74,0,282,112
Arizona,Mohave,2020,358,349,8,1,0,0,0,116,18
Arizona,Navajo,2020,366,317,47,2,0,0,0,136,43
Arizona,Pima,2020,366,154,199,12,0,1,0,277,53
Arizona,Pinal,2020,366,97,186,76,5,0,2,1124,72
Arizona,Santa Cruz,2020,360,233,122,4,1,0,0,165,34
Arizona,Yavapai,2020,331,265,65,1,0,0,0,119,45
Arizona,Yuma,2020,366,257,106,2,0,0,1,321,44
Arkansas,Arkansas,2020,119,108,11,0,0,0,0,82,27
Arkansas,Ashley,2020,122,111,11,0,0,0,0,89,28
Arkansas,Clark,2020,342,341,1,0,0,0,0,67,29
Arkansas,Crittenden,2020,366,309,54,3,0,0,0,115,38
Arkansas,Garland,2020,121,105,16,0,0,0,0,83,29
Arkansas,Jackson,2020,122,109,13,0,0,0,0,77,26
Arkansas,Newton,2020,364,354,10,0,0,0,0,84,35
Arkansas,Polk,2020,359,336,23,0,0,0,0,84,36
Arkansas,Pulaski,2020,366,275,89,2,0,0,0,132,42
Arkansas,Union,2020,121,106,15,0,0,0,0,89,34
Arkansas,Washington,2020,366,321,44,1,0,0,0,150,39
California,Alameda,2020,366,236,110,8,11,1,0,218,43
California,Amador,2020,359,327,29,2,1,0,0,156,37
California,Butte,2020,366,183,144,18,18,2,1,379,51
California,Calaveras,2020,364,260,81,10,13,0,0,192,44
California,Colusa,2020,366,247,87,9,23,0,0,198,38
California,Contra Costa,2020,366,258,90,7,11,0,0,197,41
California,Del Norte,2020,292,248,35,4,4,1,0,220,32
California,El Dorado,2020,366,258,85,17,6,0,0,190,43
California,Fresno,2020,366,94,173,59,34,6,0,298,74
California,Glenn,2020,364,251,84,7,22,0,0,197,43
California,Humboldt,2020,366,333,30,3,0,0,0,109,29
California,Imperial,2020,366,119,219,26,2,0,0,166,58
California,Inyo,2020,366,172,139,23,19,5,8,684,52
California,Kern,2020,366,78,158,98,30,2,0,267,81
California,Kings,2020,366,98,198,54,15,0,1,543,67
California,Lake,2020,351,341,6,1,3,0,0,180,32
California,Los Angeles,2020,366,60,169,77,44,16,0,235,83
California,Madera,2020,366,137,176,34,17,2,0,250,61
California,Marin,2020,366,310,47,4,4,1,0,206,33
California,Mariposa,2020,366,208,110,27,12,4,5,618,47
California,Mendocino,2020,366,280,63,10,10,1,2,456,34
California,Merced,2020,366,171,163,17,15,0,0,183,53
California,Mono,2020,366,211,89,13,17,10,26,1928,40
California,Monterey,2020,366,299,52,4,9,2,0,250,36
California,Napa,2020,365,298,52,7,8,0,0,199,36
California,Nevada,2020,366,268,66,15,13,4,0,252,41
California,Orange,2020,366,178,147,28,11,2,0,218,51
California,Placer,2020,366,167,158,20,18,3,0,222,54
California,Plumas,2020,360,183,127,16,20,10,4,469,49
California,Riverside,2020,366,52,169,98,36,9,2,576,87
California,Sacramento,2020,366,176,154,17,19,0,0,200,52
California,San Benito,2020,366,301,48,8,9,0,0,168,39
California,San Bernardino,2020,366,50,153,76,69,18,0,236,93
California,San Diego,2020,366,60,257,35,14,0,0,192,71
California,San Francisco,2020,366,277,81,3,5,0,0,198,36
California,San Joaquin,2020,366,197,138,16,15,0,0,195,48
California,San Luis Obispo,2020,366,211,124,21,8,2,0,292,48
California,San Mateo,2020,366,307,49,5,5,0,0,186,35
California,Santa Barbara,2020,366,273,80,9,4,0,0,168,42
California,Santa Clara,2020,366,237,109,11,9,0,0,186,44
California,Santa Cruz,2020,366,304,42,6,10,2,2,426,34
California,Shasta,2020,366,295,63,6,2,0,0,166,41
California,Siskiyou,2020,366,305,38,10,10,2,1,359,36
California,Solano,2020,366,257,93,9,6,1,0,204,41
California,Sonoma,2020,366,319,40,1,6,0,0,187,33
California,Stanislaus,2020,366,156,173,21,16,0,0,189,55
California,Sutter,2020,366,208,127,15,14,1,1,303,48
California,Tehama,2020,366,249,84,12,21,0,0,196,43
California,Trinity,2020,343,256,59,12,16,0,0,193,27
California,Tulare,2020,366,79,152,103,30,2,0,209,79
California,Tuolumne,2020,353,277,71,5,0,0,0,143,41
California,Ventura,2020,366,225,115,21,5,0,0,174,47
California,Yolo,2020,366,255,83,14,14,0,0,192,42
Colorado,Adams,2020,366,222,132,11,1,0,0,151,47
Colorado,Alamosa,2020,119,116,3,0,0,0,0,60,10
Colorado,Arapahoe,2020,366,248,107,9,2,0,0,159,45
