State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2016,279,247,32,0,0,0,0,87,37
Alabama,Clay,2016,116,109,7,0,0,0,0,56,30
Alabama,Colbert,2016,282,258,23,1,0,0,0,115,38
Alabama,DeKalb,2016,348,304,43,1,0,0,0,119,40
Alabama,Elmore,2016,117,107,10,0,0,0,0,77,40
Alabama,Etowah,2016,352,162,184,3,3,0,0,179,52
Alabama,Houston,2016,280,265,15,0,0,0,0,97,35
Alabama,Jefferson,2016,366,191,166,8,1,0,0,151,49
Alabama,Lawrence,2016,118,116,1,1,0,0,0,105,25
Alabama,Madison,2016,333,280,52,1,0,0,0,122,40
Alabama,Mobile,2016,358,269,87,2,0,0,0,139,42
Alabama,Montgomery,2016,363,285,76,1,1,0,0,170,42
Alabama,Morgan,2016,365,304,59,2,0,0,0,107,40
Alabama,Russell,2016,257,192,65,0,0,0,0,100,43
Alabama,Shelby,2016,244,205,35,4,0,0,0,133,41
Alabama,Sumter,2016,336,315,21,0,0,0,0,70,34
Alabama,Talladega,2016,117,99,18,0,0,0,0,79,35
Alabama,Tuscaloosa,2016,365,224,141,0,0,0,0,100,47
Alaska,Aleutians East ,2016,119,118,1,0,0,0,0,53,8
Alaska,Anchorage ,2016,361,288,73,0,0,0,0,90,31
Alaska,Denali ,2016,358,357,1,0,0,0,0,54,33
Alaska,Fairbanks North Star ,2016,366,219,91,33,23,0,0,180,37
Alaska,Juneau ,2016,305,255,50,0,0,0,0,89,20
Alaska,Kenai Peninsula ,2016,122,122,0,0,0,0,0,25,7
Alaska,Matanuska-Susitna ,2016,366,299,63,4,0,0,0,128,33
Arizona,Apache,2016,366,364,2,0,0,0,0,54,13
Arizona,Cochise,2016,366,281,83,2,0,0,0,141,44
Arizona,Coconino,2016,366,301,65,0,0,0,0,97,44
Arizona,Gila,2016,366,257,107,2,0,0,0,115,44
Arizona,La Paz,2016,365,294,70,1,0,0,0,101,41
Arizona,Maricopa,2016,366,59,270,36,0,1,0,203,64
Arizona,Mohave,2016,357,336,21,0,0,0,0,83,18
Arizona,Navajo,2016,366,301,65,0,0,0,0,90,43
Arizona,Pima,2016,366,203,159,4,0,0,0,119,49
Arizona,Pinal,2016,366,76,237,46,5,1,1,1263,69
Arizona,Santa Cruz,2016,363,260,102,0,1,0,0,191,38
