State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2017,270,241,28,1,0,0,0,108,36
Alabama,Clay,2017,118,104,14,0,0,0,0,66,30
Alabama,Colbert,2017,283,265,18,0,0,0,0,63,37
Alabama,DeKalb,2017,359,329,30,0,0,0,0,80,39
Alabama,Elmore,2017,226,221,5,0,0,0,0,58,35
Alabama,Etowah,2017,360,233,125,1,1,0,0,163,45
Alabama,Houston,2017,281,260,20,1,0,0,0,131,35
Alabama,Jefferson,2017,365,179,183,3,0,0,0,129,51
Alabama,Lawrence,2017,122,114,8,0,0,0,0,80,23
Alabama,Madison,2017,335,301,34,0,0,0,0,100,39
Alabama,Mobile,2017,361,297,59,5,0,0,0,139,37
Alabama,Montgomery,2017,346,214,129,2,0,1,0,221,45
Alabama,Morgan,2017,364,317,47,0,0,0,0,80,39
Alabama,Russell,2017,311,228,83,0,0,0,0,87,44
Alabama,Shelby,2017,239,222,17,0,0,0,0,97,38
Alabama,Sumter,2017,350,330,20,0,0,0,0,83,34
Alabama,Talladega,2017,116,92,24,0,0,0,0,70,33
Alabama,Tuscaloosa,2017,350,165,184,1,0,0,0,123,52
Alaska,Aleutians East ,2017,118,118,0,0,0,0,0,29,9
Alaska,Anchorage ,2017,365,313,51,1,0,0,0,105,22
Alaska,Denali ,2017,360,360,0,0,0,0,0,49,34
Alaska,Fairbanks North Star ,2017,365,240,80,25,20,0,0,180,38
Alaska,Juneau ,2017,356,311,44,1,0,0,0,103,15
Alaska,Kenai Peninsula ,2017,67,67,0,0,0,0,0,23,6
Alaska,Matanuska-Susitna ,2017,365,309,51,4,1,0,0,155,30
Arizona,Apache,2017,365,363,2,0,0,0,0,57,14
Arizona,Cochise,2017,365,255,108,2,0,0,0,111,44
Arizona,Coconino,2017,365,259,105,1,0,0,0,105,45
Arizona,Gila,2017,365,247,109,8,1,0,0,161,44
Arizona,La Paz,2017,361,279,80,2,0,0,0,105,43
Arizona,Maricopa,2017,365,51,259,50,5,0,0,167,71
Arizona,Mohave,2017,355,349,6,0,0,0,0,86,17
Arizona,Navajo,2017,365,279,85,1,0,0,0,101,44
Arizona,Pima,2017,365,145,213,7,0,0,0,122,53
Arizona,Pinal,2017,365,64,233,59,7,1,1,365,75
Arizona,Santa Cruz,2017,365,276,85,2,2,0,0,186,33
Arizona,Yavapai,2017,340,231,104,5,0,0,0,119,46
Arizona,Yuma,2017,365,241,110,12,1,1,0,235,45
Arkansas,Arkansas,2017,113,99,14,0,0,0,0,63,30
Arkansas,Ashley,2017,121,108,13,0,0,0,0,66,33
Arkansas,Clark,2017,358,345,13,0,0,0,0,74,34
Arkansas,Crittenden,2017,365,280,84,1,0,0,0,140,42
Arkansas,Garland,2017,121,104,17,0,0,0,0,70,34
Arkansas,Jackson,2017,122,104,18,0,0,0,0,67,30
Arkansas,Newton,2017,365,348,17,0,0,0,0,61,38
Arkansas,Polk,2017,362,324,38,0,0,0,0,97,40
Arkansas,Pulaski,2017,365,252,112,1,0,0,0,115,44
Arkansas,Union,2017,365,266,99,0,0,0,0,91,39
