State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2019,271,237,34,0,0,0,0,80,37
Alabama,Clay,2019,107,97,10,0,0,0,0,67,30
Alabama,Colbert,2019,263,252,11,0,0,0,0,61,37
Alabama,DeKalb,2019,361,324,37,0,0,0,0,90,39
Alabama,Elmore,2019,228,208,20,0,0,0,0,100,39
Alabama,Etowah,2019,279,232,47,0,0,0,0,90,43
Alabama,Houston,2019,280,256,24,0,0,0,0,77,35
Alabama,Jefferson,2019,365,160,192,13,0,0,0,150,53
Alabama,Lawrence,2019,112,111,1,0,0,0,0,53,24
Alabama,Madison,2019,361,255,106,0,0,0,0,93,44
Alabama,Mobile,2019,352,246,106,0,0,0,0,80,43
Alabama,Montgomery,2019,365,171,193,1,0,0,0,122,52
Alabama,Morgan,2019,365,306,59,0,0,0,0,93,41
Alabama,Russell,2019,363,268,95,0,0,0,0,84,40
Alabama,Shelby,2019,244,202,39,3,0,0,0,119,42
Alabama,Sumter,2019,354,328,26,0,0,0,0,64,33
Alabama,Tuscaloosa,2019,264,240,24,0,0,0,0,87,35
Alaska,Aleutians East ,2019,121,121,0,0,0,0,0,47,10
Alaska,Anchorage ,2019,365,289,67,5,4,0,0,160,27
Alaska,Bethel ,2019,317,304,11,1,1,0,0,176,10
Alaska,Denali ,2019,360,356,4,0,0,0,0,80,36
Alaska,Fairbanks North Star ,2019,365,230,96,18,16,1,4,377,38
Alaska,Juneau ,2019,362,308,51,3,0,0,0,145,20
Alaska,Kenai Peninsula ,2019,118,115,2,1,0,0,0,140,8
Alaska,Matanuska-Susitna ,2019,361,295,63,3,0,0,0,127,19
Alaska,North Slope ,2019,110,109,1,0,0,0,0,65,5
Arizona,Apache,2019,359,358,1,0,0,0,0,59,10
Arizona,Cochise,2019,365,266,99,0,0,0,0,97,45
Arizona,Coconino,2019,365,289,76,0,0,0,0,80,45
Arizona,Gila,2019,365,210,139,16,0,0,0,146,48
Arizona,La Paz,2019,364,304,60,0,0,0,0,77,44
Arizona,Maricopa,2019,365,66,261,38,0,0,0,147,65
Arizona,Mohave,2019,365,358,7,0,0,0,0,69,14
Arizona,Navajo,2019,365,294,70,1,0,0,0,112,44
Arizona,Pima,2019,365,225,138,2,0,0,0,103,47
Arizona,Pinal,2019,365,122,210,21,2,3,7,886,63
Arizona,Santa Cruz,2019,362,280,80,2,0,0,0,120,31
Arizona,Yavapai,2019,357,299,58,0,0,0,0,87,43
Arizona,Yuma,2019,365,265,97,3,0,0,0,129,45
Arkansas,Arkansas,2019,118,101,17,0,0,0,0,77,30
Arkansas,Ashley,2019,120,103,17,0,0,0,0,67,33
Arkansas,Benton,2019,146,120,26,0,0,0,0,83,35
Arkansas,Clark,2019,355,347,8,0,0,0,0,67,32
Arkansas,Craighead,2019,49,43,6,0,0,0,0,61,30
Arkansas,Crittenden,2019,365,290,74,1,0,0,0,101,40
